query	target	fident	alnlen	mismatch	gapopen	qstart	qend	tstart	tend	evalue	bits
tet(O/W/32/O)	WP_054336482.1	0.861	639	89	0	1	639	1	639	0.0	1141
tet(O/W/O)-1	WP_054336482.1	0.927	639	47	0	1	639	1	639	0.0	1242
tet(O/W/O)-1	WP_204313008.1	0.897	638	66	0	1	638	1	638	0.0	1195
tet(O/W/O)-1	WP_063856419.1	0.869	639	84	0	1	639	1	639	0.0	1154
tet(O/W/O)-3	WP_054336482.1	0.941	639	38	0	1	639	1	639	0.0	1262
tet(O/W/O)-3	WP_204313008.1	0.909	638	58	0	1	638	1	638	0.0	1212
tet(O/W/O)-3	WP_063856414.1	0.882	638	75	0	1	638	1	638	0.0	1171
tet(S)	WP_109544237.1	0.941	638	38	0	1	638	1	638	0.0	1260
tet(S)	WP_063856115.1	0.775	638	143	0	1	638	1	638	0.0	1009
tet(S)	WP_002872163.1	0.759	638	154	0	1	638	1	638	2.03e-322	984
tet(X5)	WP_063856444.1	0.921	378	30	0	11	388	1	378	2.347e-239	730
tet(X5)	WP_094309310.1	0.902	381	37	0	8	388	5	385	2.1779999999999998e-235	719
tet(X5)	WP_008651082.1	0.889	388	43	0	1	388	1	388	8.466e-236	720
vga(A)	WP_002449123.1	0.91	522	47	0	1	522	1	522	0.0	993
vga(A)	WP_063856936.1	0.772	523	119	0	1	521	1	523	3.009e-269	824
vga(A)	WP_012779620.1	0.648	519	182	0	3	520	2	520	6.3190000000000005e-214	664
